,scene_num,what,who,directions
945,196,dialog,ROTH,(SMILES)
946,196,direction,,
947,196,dialog,DOYLE,
948,196,dialog,CASE,
949,196,direction,,
950,196,dialog,DOYLE,
951,196,direction,,
952,196,direction,,
953,196,dialog,ROTH,
954,196,direction,,
955,196,direction,,
956,196,dialog,BRAND,
957,196,direction,,
958,196,dialog,COOPER,
959,196,direction,,
960,196,direction,,
961,196,dialog,ROTH,
962,196,direction,,
963,196,dialog,CASE,
964,196,dialog,DOYLE,
965,196,dialog,CASE,
966,196,direction,,
967,196,direction,,
968,196,direction,,
969,196,direction,,
970,196,dialog,CASE,(CONT'D)
971,196,direction,,
972,196,direction,,
973,197,scene,,
974,198,direction,,
975,199,scene,,
976,200,direction,,
977,200,dialog,ROTH,
978,200,direction,,
979,200,direction,,
980,201,scene,,
981,202,direction,,
982,202,direction,,
983,203,scene,,
984,204,direction,,
985,204,dialog,CASE,
986,204,direction,,
987,204,direction,,
988,205,scene,,
989,206,direction,,
990,207,scene,,
991,208,direction,,
992,208,dialog,COOPER,
993,208,direction,,
994,208,direction,,
995,208,dialog,BRAND,
996,208,dialog,DOYLE,
997,208,direction,,
998,208,direction,,
999,208,dialog,CASE,
1000,208,direction,,
1001,208,dialog,ROTH,
1002,208,direction,,
1003,208,direction,,
1004,208,dialog,CASE,
1005,208,direction,,
1006,208,dialog,DOYLE,
1007,208,dialog,ROTH,
1008,208,direction,,
1009,208,dialog,ROTH,(CONT'D)
1010,208,dialog,DOYLE,
1011,208,direction,,
1012,208,dialog,ROTH,
1013,208,dialog,DOYLE,(FRANTIC);(MORE)
1014,208,dialog,DOYLE,(CONT'D)
1015,208,direction,,
1016,208,dialog,CASE,
1017,208,direction,,
1018,208,direction,,
1019,209,scene,,
1020,210,direction,,
1021,211,scene,,
1022,212,direction,,
1023,212,direction,,
1024,212,direction,,
1025,212,direction,,
1026,212,dialog,ROTH,
1027,212,direction,,
1028,212,dialog,COOPER,
1029,212,direction,,
1030,212,direction,,
1031,212,dialog,COOPER,(CONT'D)
1032,212,direction,,
1033,212,direction,,
1034,212,direction,,
1035,212,dialog,DOYLE,
1036,212,direction,,
1037,213,scene,,
1038,214,direction,,
1039,215,scene,,
1040,216,direction,,
1041,216,dialog,DOYLE,
1042,216,dialog,ROTH,
1043,216,direction,,
1044,216,direction,,
1045,216,dialog,CASE,(CALM)
1046,216,dialog,ROTH,
1047,216,direction,,
1048,216,dialog,COOPER,
1049,216,dialog,BRAND,
1050,216,direction,,
1051,217,scene,,
1052,218,direction,,
1053,219,scene,,
1054,220,direction,,
1055,220,dialog,ROTH,
1056,220,direction,,
1057,220,dialog,CASE,
1058,220,dialog,COOPER,
1059,220,direction,,
1060,221,scene,,
1061,222,direction,,
1062,223,scene,,
1063,224,direction,,
1064,224,direction,,
1065,224,direction,,
1066,224,dialog,CASE,
1067,224,direction,,
1068,224,dialog,BRAND,
1069,224,direction,,
1070,224,dialog,ROTH,
1071,224,direction,,
1072,224,direction,,
1073,225,scene,,
1074,226,direction,,
1075,226,direction,,
1076,227,scene,,
1077,228,direction,,
1078,228,direction,,
1079,228,dialog,ROTH,
1080,229,scene,,
1081,230,direction,,
1082,230,direction,,
1083,230,dialog,COOPER,
1084,230,direction,,
1085,230,dialog,COOPER,(CONT'D)
1086,230,direction,,
1087,230,dialog,BRAND,
1088,230,direction,,
1089,230,direction,,
1090,230,dialog,ROTH,
1091,230,direction,,
1092,230,dialog,ROTH,(CONT'D)
1093,230,direction,,
1094,230,dialog,COOPER,
1095,230,dialog,ROTH,(SMILES)
1096,230,direction,,
1097,231,scene,,
1098,232,direction,,
1099,232,direction,,
1100,233,scene,,
1101,234,direction,,
1102,234,dialog,COOPER,
1103,234,dialog,BRAND,
1104,234,direction,,
1105,235,scene,,
1106,236,direction,,
1107,237,scene,,
1108,238,direction,,
1109,238,direction,,
1110,239,scene,,
1111,240,direction,,
1112,241,scene,,
1113,242,direction,,
1114,242,direction,,
1115,242,direction,,
1116,242,direction,,
1117,242,direction,,
1118,242,dialog,BRAND,(RADIO)
1119,242,direction,,
1120,242,dialog,CASE,
1121,242,direction,,
1122,242,direction,,
1123,242,direction,,
1124,242,direction,,
1125,242,direction,,
1126,242,dialog,BRAND,
1127,242,direction,,
1128,242,dialog,CASE,
1129,242,direction,,
1130,243,scene,,
1131,244,direction,,
1132,244,direction,,
1133,244,dialog,DOYLE,
1134,244,direction,,
1135,244,dialog,BRAND,
1136,244,dialog,ROTH,
1137,244,direction,,
1138,245,scene,,
1139,246,direction,,
1140,247,scene,,
1141,248,direction,,
1142,248,direction,,
1143,248,dialog,BRAND,
1144,248,direction,,
