"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-13A-1988",2020-07-07,"WW01669","Nickel","µg/L",0.129,0.0331,0.1,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","Nickel","µg/L",3.36,0.0331,0.1,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","Nickel","µg/L",0.07,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","Nitrate","mg/L",5.8,0.05,0.05,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","Nitrate","mg/L",2.3,0.05,0.05,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","Nitrate","mg/L",2.4,0.05,0.05,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","Nitrate","mg/L",3.7,0.05,0.05,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","Nitrate","mg/L",2,0.05,0.05,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","Nitrate","mg/L",4.1,0.05,0.05,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","Nitrate","mg/L",11,0.05,0.05,"not.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","Nitrate","mg/L",6.2,0.05,0.05,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","Nitrate","mg/L",0.38,0.05,0.05,"not.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","Nitrate","mg/L",5.5,0.05,0.05,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","Nitrate","mg/L",4.6,0.05,0.05,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","Nitrate","mg/L",3.8,0.05,0.05,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","Nitrate","mg/L",6.8,0.05,0.05,"not.censored",4218304.4,910813.2
"MW-9-1996",2020-07-07,"WW01665","Nitrate","mg/L",0.36,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","pH","Standard units",6.86,NA,NA,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","pH","Standard units",6.88,NA,NA,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","pH","Standard units",6.94,NA,NA,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","pH","Standard units",6.98,NA,NA,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","pH","Standard units",7.07,NA,NA,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","pH","Standard units",7.03,NA,NA,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","pH","Standard units",7.08,NA,NA,"not.censored",4219020.1,910332.999999999
